case_id,author_id_customer,customer_message,created_at_customer,tweet_id_support,support_message,created_at_support,true_intent,human_escalate
205981,164790,@AmazonHelp @AmazonHelp and what  about this one 👉order id #4__credit_card__,Mon Nov 06 12:42:39 +0000 2017,205983,"@164790 Twitter being a Social platform, we may not be able to access your account. 1/2 ^RB",Mon Nov 06 13:25:00 +0000 2017,General Inquiry & Feedback,False
183191,159081,@AmazonHelp #AmazonIndia any update on the issue. Why is taking so long,Fri Oct 06 03:19:17 +0000 2017,183193,@159081 I'm sorry it is taking longer than expected. May I know if you have filled your details through the link provided above? ^SH,Fri Oct 06 03:50:00 +0000 2017,General Inquiry & Feedback,False
279982,182731,@115850 Redmi 4 फर्जी कंपनी amazon,Fri Oct 06 08:22:13 +0000 2017,279978,"@182731 We don't expect you to feel this way. Kindly let us know, what went wrong. We will help.^CB",Fri Oct 06 09:51:27 +0000 2017,General Inquiry & Feedback,False
218151,168011,@115830 Your tracking info says it's still out fir delivery??????,Wed Oct 04 22:20:44 +0000 2017,218150,"@168011 Oh no, David! I'm sorry for the trouble with your delivery! We'd like to look into this with you here: https://t.co/JzP7hlA23B ^TG",Wed Oct 04 22:34:52 +0000 2017,Order Status & Logistics,False
449915,221639,@AmazonHelp But it’s a free trial so there should be no payment??,Thu Nov 30 21:17:23 +0000 2017,449913,@221639 We authorize £1 to validate your payment method. You can find more information here: https://t.co/OBP9gUeo1J ^CO,Thu Nov 30 21:26:32 +0000 2017,"Account, Billing & Prime",True
545781,246887,@AmazonHelp Np. I am now at work. It's ok system not 4 me https://t.co/6NXvHeqtHC,Sat Dec 02 19:18:27 +0000 2017,545782,@246887 This definitely isn't what we want from our customers. Please let us take feedback and discuss this further using this link: https://t.co/7JUmpzfcI5,Sat Dec 02 19:21:00 +0000 2017,General Inquiry & Feedback,False
302246,188116,Spent £30 on amazon said my parcel has been delivered to resident which it has not not happy @AmazonHelp,Fri Oct 06 21:30:40 +0000 2017,302245,@188116 Sorry you haven't received your parcel! Please reach out to us here: https://t.co/JzP7hlA23B so we can look at options. ^AH,Fri Oct 06 21:33:05 +0000 2017,Order Status & Logistics,False
191502,161017,@AmazonHelp  https://t.co/xdB6MbxeBb,Wed Oct 04 15:49:38 +0000 2017,191501,"@161017 We'd like to help the best we can! Without posting personal info, could you tell us more about what's going on? ^GL",Wed Oct 04 15:53:00 +0000 2017,General Inquiry & Feedback,False
133930,146171,very upset with @115830 customer service. I have been a loyal customer since 2006 and I feel I have been let down. not that it will make any difference but I will be stopping my prime and buying from you with immediate effect. #LetDown #PoorService,Fri Nov 24 08:14:37 +0000 2017,133927,"@146171 Hi. I'm sorry to hear that. Without posting account/order specific details, can you let us know what's happened please? ^DC",Fri Nov 24 08:16:27 +0000 2017,"Account, Billing & Prime",True
387978,153500,@115850 after getting payment @115821 delays delivery beyond patience. Item lying with local del center since 3 days  @39424 @207829 https://t.co/W0iJQfuaMY,Mon Oct 09 13:30:36 +0000 2017,387979,@153500 We deliver until 8 pm. Kindly wait as I'm positive your order will be delivered by then. ^AP 1/2,Mon Oct 09 14:05:00 +0000 2017,"Account, Billing & Prime",True
288312,184677,"@AmazonHelp @115851     Need resolution on this ASAP, its been already too long.  Order # 404-2934721-8605949",Sat Oct 07 05:45:14 +0000 2017,288320,@184677 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 2/2 ^SH,Sat Oct 07 06:01:31 +0000 2017,General Inquiry & Feedback,False
419161,214973,My dear @115850 if u can't deliver don't sell. Ur courier guys r harassing customers asking to meet them on street 4 taking own delivery.,Tue Oct 10 05:23:26 +0000 2017,419159,@214973 That's certainly not what we want our customers to go through. Apologies for the inconvenience. 1/2 ^PS,Tue Oct 10 05:28:31 +0000 2017,General Inquiry & Feedback,False
490483,231842,@AmazonHelp Sim!!!!!!! Estou esperando vcs baixarem o valor do livro O segundo sexo de Simone De Beauvoir para comprar.,Fri Dec 01 16:55:18 +0000 2017,490485,@231842 Fica de olho então no nosso site e no nosso Facebook! ^NP,Fri Dec 01 17:03:35 +0000 2017,Non-English Support,True
531565,146883,"@AmazonHelp Hab vom firetv1 Stick auf den mit Alexa gewechselt. Da lief alles problemlos. Hab den Code nicht geändert &amp; den kennt das Kind auch nicht😉 
Hier noch die Wiedergabenbeschränkung. https://t.co/I9BUMoszKg",Sat Dec 02 10:52:06 +0000 2017,531566,"@146883 Nur der Vollständigkeit halber - War es mit dem alten Stick nicht möglich, Bibi Blocksberg ohne den Pin abzuspielen? Die Kindersicherung sperrt nur den Zugang zu Titeln aus gewissen Alterskategorien. ^MS",Sat Dec 02 11:17:29 +0000 2017,General Inquiry & Feedback,False
163544,153827,@AmazonHelp es que cierta empresa de transporte pierde los envios de la gente....,Fri Nov 24 19:32:59 +0000 2017,163543,@153827 Sin compartir información personal ni confidencial ¿Podrías indicarnos si has tenido alguna situación con tu último pedido? de ser así ¿Podrías informarnos si el producto  es vendido directamente por Amazon o si ha sido vendido por un vendedor externo? ^PC,Fri Nov 24 19:36:00 +0000 2017,Non-English Support,True
437905,219021,"What is the point of having a #prime membership , if you haven't received your product even after 3 days from ordering it ? 
#Amazon #AmazonPrime @115850",Sat Nov 25 05:56:40 +0000 2017,437906,@219021 Apologies for the delay in the delivery. May I know if you've reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^EM,Sat Nov 25 06:16:54 +0000 2017,"Account, Billing & Prime",True
108129,140004,"Alô, @117086 já pode fazer promoção de capa pra kindle tbm, viu?",Thu Nov 23 19:33:31 +0000 2017,108128,"@140004 Oi Jessica, fica no olho do site, temos muitas surpresas pra vocês proximamente! 😉 ^AG",Thu Nov 23 19:39:54 +0000 2017,Product Quality & Hardware,True
451874,222174,@AmazonHelp não consegui. vou mandar DM pra vocês.,Thu Nov 30 23:11:08 +0000 2017,451875,@222174 Então vamos responder no DM jordamn. ^JJ,Thu Nov 30 23:15:33 +0000 2017,General Inquiry & Feedback,False
542104,245813,"@AmazonHelp minha conta foi excluída da amazon. Não consigo acessar o site para saber o que houve, e agora?",Sat Dec 02 15:44:14 +0000 2017,542100,"@245813 Olá Bruno, sentimos muito. Você recebeu algum e-mail com instruções e detalhes do acontecido com a conta? ^LG",Sat Dec 02 15:48:41 +0000 2017,Non-English Support,True
215068,167099,@116313 ミル買ったらコーヒー豆がいるがね・ω・ということで、木樽コーヒーもぽちっとな・・,Thu Oct 05 01:52:27 +0000 2017,215066,"@167099 美味しいコーヒー飲みながら、ホッと一息。。。。いいですね～(‘v`◎)
Amazonをご利用いただき、ありがとうございます！
商品到着まで、今しばらくお待ちください୧꒰*´꒳`*꒱૭TY",Thu Oct 05 01:55:31 +0000 2017,General Inquiry & Feedback,False
182826,159016,"@AmazonHelp Order number. Name. And status. Was promised three times that beta code would be with me prior to beta launch, which was 9 am today.",Wed Oct 04 16:42:52 +0000 2017,182825,@159016 Have you checked your Spam and Junk folders as well? Did we set up a follow up regarding this matter? ^CO,Wed Oct 04 16:47:31 +0000 2017,General Inquiry & Feedback,False
80721,133904,せっかくAmazonプライム会員だしfirestickTV持ってるし映画見まくってる。scoop見たけどリリー・フランキーのぶっ飛び具合がいい。,Thu Nov 30 12:48:56 +0000 2017,80720,@133904 ご利用ありがとうございます🙇　ごゆっくりお楽しみくださいませΣd(*`･∀･´*)　SM,Thu Nov 30 13:17:00 +0000 2017,General Inquiry & Feedback,False
136900,146878,"@AmazonHelp I didn’t, because I didn’t see it at all. How has it taken two complaints and two returns to learn about this feature? Terrible user and customer experience!",Fri Nov 24 10:10:23 +0000 2017,136902,"@146878 Sorry this was not explained previously. For more information about this please click the following link: 
https://t.co/6g9CnHCAIr.^BZ",Fri Nov 24 10:23:30 +0000 2017,General Inquiry & Feedback,False
35914,123814,"@AmazonHelp Yeah got your 'at the earliest' response.. 

Can't you give a 100% sure answer by talking to your courier partner. Is it that hard ¡¡ https://t.co/nH1ziAugRH",Thu Nov 02 07:28:03 +0000 2017,35915,@123814 We're currently working on your issue. We'll contact you with an update soon. Request you to wait for an update. ^ZH,Thu Nov 02 07:30:31 +0000 2017,General Inquiry & Feedback,False
337419,196516,I ordered dog food through Amazon because my ankle is broken. #Amazonfail https://t.co/jBxQUcOd4m,Wed Sep 27 23:06:30 +0000 2017,337418,@196516 This certainly isn't the delivery service we strive to provide! Who is the carrier for this order? ^DD,Wed Sep 27 23:30:54 +0000 2017,Product Quality & Hardware,True
132340,145861,@AmazonHelp I’ve tried that too! Just get ‘it’s been marked as delivered’,Fri Nov 24 13:27:15 +0000 2017,132342,@145861 Have you had a chance to reach out to the courier? https://t.co/2Vw61TN5Sd ^RO,Fri Nov 24 13:34:50 +0000 2017,Order Status & Logistics,False
515324,238702,@AmazonHelp is the best 💕🤠,Fri Dec 01 20:48:09 +0000 2017,515323,@238702 We think you're the best! Around! Nothing's gonna ever keep you down!!  ^EP https://t.co/mW3Gm1i9Rv,Sat Dec 02 00:32:12 +0000 2017,General Inquiry & Feedback,False
231547,171147,"Lenovo A6600 Plus (Black) https://t.co/NPYP9mp9mO. Delivered earlier than said, thanks @115821",Thu Oct 05 10:12:26 +0000 2017,231546,"@171147 You're most welcome, we're glad that you've received early delivery. :) ^KN",Thu Oct 05 10:34:05 +0000 2017,Order Status & Logistics,False
562978,251785,"@115821 incredibly frustrated customer !! Places orders last week,  promised 2 day delivery.... still nothing received.  Smh! Called in several times still not resolved.... promised credit not on account??? What gives! Need help asap pls!! Thank you",Sat Dec 02 23:16:37 +0000 2017,562977,@251785 I'm sorry for the poor experience! We'd like to assist. What is the current status of these orders: https://t.co/PCtircFm5C? What's the delivery date shown? ^SJ,Sat Dec 02 23:29:34 +0000 2017,"Account, Billing & Prime",True
225345,169834,"#Amazon #AmazonIndia 
I hate Amazon",Thu Oct 05 05:39:34 +0000 2017,225344,@169834 Sorry to know you feel this way. Is there anything that was left unaddressed or you'd like our help with at the moment? ^AB,Thu Oct 05 06:16:00 +0000 2017,General Inquiry & Feedback,False
215214,167132,This is why I don’t trust @115821 reviews ! https://t.co/Y0vCXio9xg,Thu Oct 05 00:58:46 +0000 2017,215213,@167132 We ask that the review be about the item itself. Shipping and seller experiences may be removed: https://t.co/TLo3XSn4xY ^CL,Thu Oct 05 01:01:33 +0000 2017,General Inquiry & Feedback,False
436957,218765,"@115821, I DON’T like that you have your own delivery guys now. They can’t get into my building so I HAVE to be home. Pain in the ass.",Tue Oct 10 17:16:45 +0000 2017,436955,@218765 Are you currently having a problem w/ an order being delivered by Amazon Logistics? Check here: https://t.co/PCtircFm5C ^GL,Tue Oct 10 17:19:29 +0000 2017,General Inquiry & Feedback,False
276122,181963,@116313 普通にレディースロングコート買うよりもこっちの方が暖かそうだからほしいかも…Mサイズ少し大きいけど,Fri Oct 06 07:21:11 +0000 2017,276120,@181963 Amazonをチェックしていただきありがとうございます！気に入ったコートが見つかりますように☺️SK,Fri Oct 06 07:25:54 +0000 2017,General Inquiry & Feedback,False
126810,144464,"@AmazonHelp Kkkkk Sim já vi o anime, e virei fã, agora estou empolgado para ler os mangás.",Fri Nov 24 23:44:13 +0000 2017,126811,"@144464 Que legal! Com certeza você vai adorar a leitura dos seus mangás, Lian! Abraço! :D ^CR",Fri Nov 24 23:47:25 +0000 2017,Non-English Support,True
1724,116088,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Tue Oct 31 22:48:50 +0000 2017,1725,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,Tue Oct 31 23:04:01 +0000 2017,"Account, Billing & Prime",True
322975,192399,"@115850 @115821 @AmazonHelp most worst things about you that no one can complain about your agent anywhere, no action was taken against dm",Sat Oct 07 13:50:40 +0000 2017,322973,@192399 We would like to help . Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB,Sat Oct 07 14:18:37 +0000 2017,General Inquiry & Feedback,False
134809,146391,@115830 order within the next 90 mins for same day delivery never ever works for me .Why is this ? i suspect a con to get me to order,Fri Nov 24 09:07:28 +0000 2017,134807,@146391 May I ask if you selected Same Day Delivery as the delivery option at checkout? ^KI,Fri Nov 24 09:13:00 +0000 2017,General Inquiry & Feedback,False
206008,164791,"@AmazonHelp They closed my account for failure of verification of payment method, but somehow still managed to charge me for Amazon Prime",Mon Nov 06 07:51:35 +0000 2017,206007,@164791 How were you notified of the charge Dikki? Can you report this to us via: https://t.co/hApLpMlfHN ^NV,Mon Nov 06 08:03:27 +0000 2017,"Account, Billing & Prime",True
293305,185732,"@AmazonHelp tengo una gift card de Estados Unidos, ¿cómo hago para aplicarla en mi cuenta Amazon MX?",Fri Oct 06 16:54:26 +0000 2017,293304,"@185732 Hola Carlos,  por favor contacta a nuestro Servicio al Cliente por medio de este enlace: https://t.co/beR78zMMYB . ^MB",Fri Oct 06 17:02:27 +0000 2017,Non-English Support,True
440359,219486,"@AmazonHelp Un second vient d'arriver aujourd'hui, ""caché"" sous le paillasson...",Fri Oct 27 16:37:17 +0000 2017,440360,"@219486 Bonsoir, navrée pour cela. Avez-vous vérifié le contenu de votre colis? L'article est-il intact? ^SA",Fri Oct 27 16:57:36 +0000 2017,General Inquiry & Feedback,False
205194,164607,プラネテスがAmazonプライムに追加されてる。DVD持ってるけど見るか。,Wed Oct 04 23:44:00 +0000 2017,205193,@164607 はい！追加されました！連続再生されるプライム・ビデオでもぜひお楽しみください☺️✨ SK,Wed Oct 04 23:49:28 +0000 2017,General Inquiry & Feedback,False
288110,184647,@AmazonHelp @115850 @132994  the response simply says packet non traceable &amp; refund is being initiated. NO COMPENSATION 2 CUSTOMETR 4  HARASSMENT,Sat Oct 14 09:37:43 +0000 2017,288111,"@184647 Please be informed that we do not have any compensation policies. However, I'll pass on your feedback on this internally. ^AB",Sat Oct 14 10:04:28 +0000 2017,"Returns, Refunds & Cancellations",True
83405,134324,@AmazonHelp Today makes the fourth time that my order is getting delivered after the date quested when I checked out,Thu Nov 30 13:49:37 +0000 2017,83403,"@134324 I'm very sorry that your parcels have been delayed. This is our busiest time of year, and unfortunately that slows everything down a bit. This help link explains our Black Friday and Cyber Monday shipping: https://t.co/ydhrX6i1pf I apologize for any inconvenience.^SP",Thu Nov 30 13:53:33 +0000 2017,Order Status & Logistics,False
302626,188212,@AmazonHelp Apparently it's still out for delivery. https://t.co/OLwkEoq5He,Fri Oct 06 21:46:29 +0000 2017,302625,@188212 I'm so sorry for the delay! Please reach out to us here: https://t.co/JzP7hlA23B for more assistance with this. ^TK,Fri Oct 06 21:48:32 +0000 2017,General Inquiry & Feedback,False
492177,226477,wow really @AmazonHelp @115821 now my package has been labeled damaged and undeliverable?!?! After spending hours with you on trying to get it. #EpicFail,Fri Dec 01 17:03:05 +0000 2017,492176,"@226477 Hello Ron, I am sorry to hear that please contact us here:  https://t.co/JzP7hlA23B. We will investigate further. ^HS",Fri Dec 01 17:10:00 +0000 2017,Product Quality & Hardware,True
352385,199801,@AmazonHelp I have shared the details,Mon Oct 09 10:51:59 +0000 2017,352386,"@199801 Thank you for confirming. If you have shared your details, our team will get back to you soon. ^AG",Mon Oct 09 11:15:26 +0000 2017,General Inquiry & Feedback,False
440322,219482,@AmazonHelp Does you sorry can solve my problem. @115850 @AmazonHelp,Fri Oct 27 13:34:50 +0000 2017,440323,@219482 I understand your concern. Please respond to the email you've received from us for further issues. ^YP,Fri Oct 27 13:49:00 +0000 2017,General Inquiry & Feedback,False
75988,133007,Seriously !! What the fuck is the point of @115830 prime !!!,Wed Nov 29 19:59:37 +0000 2017,75986,@133007 We'd like to try to help in any way we can. Will you please tell us more about what's going on? Do you need help with a current order?  ^SC,Wed Nov 29 20:30:10 +0000 2017,"Account, Billing & Prime",True
377217,205513,"@AmazonHelp Thanks RD 😇. I understand that it's not shipping sooner but if at all, 407-6571709-0284367. Thought of putting it out there 😐.",Mon Oct 09 04:39:18 +0000 2017,377219,@205513 You're welcome. You will receive your order by the promised date. 1/2 ^PS,Mon Oct 09 05:44:00 +0000 2017,General Inquiry & Feedback,False
227023,170157,"Really @115850??
What happened to the beautiful product ads? What happened to creative carousels?
automation fucked it up. https://t.co/GJHlVFcZya",Thu Oct 05 07:17:45 +0000 2017,227021,@170157 I'm unable to comprehend your concern. Could you please elaborate so that we can assist you accordingly? ^MM,Thu Oct 05 07:42:16 +0000 2017,General Inquiry & Feedback,False
432967,217978,"@AmazonHelp hi, how do i go about getting a refund for a fifa code i bought that did not work?",Tue Oct 10 15:53:24 +0000 2017,432966,@217978 We'd be happy to help. Please contact us here: https://t.co/qy3J24VGxb ^AF,Tue Oct 10 16:01:46 +0000 2017,"Returns, Refunds & Cancellations",True
22542,120924,Hi I returned my order and I followed the proper procedure but got back an empty dabba from post office. @115850 @AmazonHelp PFA photos https://t.co/DmP0UrEttf,Wed Nov 01 08:10:13 +0000 2017,22540,@120924 the issue. Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 2/2 ^SH,Wed Nov 01 08:39:24 +0000 2017,General Inquiry & Feedback,False
253415,156910,@AmazonHelp hello guys I bought a 6 feet charging set and just checked the site and it was delivered on ... https://t.co/kT0NV0YI0V,Thu Oct 05 17:41:47 +0000 2017,253412,@156910 Uh oh! I'm sorry you haven't received your item! Have you had a chance to try these helpful tips:https://t.co/GH2FEspol2 ^ML,Thu Oct 05 17:44:28 +0000 2017,Order Status & Logistics,False
136174,146684,@AmazonHelp The status says 'Your items may be lost' ! And the first estimated delivery was 22nd then moved to 23rd. Order is for my mothers birthday which is tomorrow! And order was over £80!,Fri Nov 24 09:19:54 +0000 2017,136173,@146684 I'm sorry to hear of this. Can you please reach out to us directly via the following link and we'll see what we can do for you:  https://t.co/JzP7hlA23B. ^KI,Fri Nov 24 09:34:00 +0000 2017,General Inquiry & Feedback,False
200001,163184,@115850 @AmazonHelp @115821 Pathetic customer support experience despite being a Prime &amp; being one of the first buyers of Amazon Echo !!,Wed Oct 04 19:24:16 +0000 2017,200000,@163184 Our apologies. Could you tell us more about your concern for better assistance? ^YP,Wed Oct 04 19:32:00 +0000 2017,"Account, Billing & Prime",True
13884,118918,"@AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",Tue Oct 31 08:10:12 +0000 2017,13883,@118918 I get your concern.We wouldn't be able to work on the issue until we receive a service denial letter from the manufacturer.^NS,Tue Oct 31 08:25:00 +0000 2017,General Inquiry & Feedback,False
249984,175401,@81 @116875 De casualidad me encontraron en casa.,Thu Oct 05 16:52:54 +0000 2017,249982,@175401 Hola Carlos. Puedes reportar lo sucedido a nuestro Servicio de atención al cliente (https://t.co/beR78A4nQ9) ^HC,Thu Oct 05 17:03:00 +0000 2017,General Inquiry & Feedback,False
273180,181241,@AmazonHelp Very very Worst Experience Shopping With You Worst Servicess After Sale,Fri Oct 06 09:48:16 +0000 2017,273182,@181241 Whenever possible we do offer to pick up the order to reduce customer effort. I'll forward your feedback internally. 2/2 ^PS,Fri Oct 06 10:09:00 +0000 2017,General Inquiry & Feedback,False
536596,244334,Amazonプライム神だなぁ https://t.co/CP1r8bhf2B,Sat Dec 02 13:14:37 +0000 2017,536595,"@244334 壁|▽//)ゝﾃﾚﾃﾚ  そのように言っていただけると…
Amazonプライムをご利用いただき、ありがとうございます！どうぞ存分にお楽しみください♪ RI",Sat Dec 02 13:23:29 +0000 2017,General Inquiry & Feedback,False
312101,190544,@AmazonHelp @115821 I want answer y guys fool people About the service which u cannot provide. If cannot deliver on time. Just say it. Don't fool,Sat Oct 07 04:06:03 +0000 2017,312104,"@190544 Thank you for sharing your details, Santosh. We've received them. We'll get in touch with you at the earliest. ^AU",Sat Oct 07 05:16:30 +0000 2017,General Inquiry & Feedback,False
325871,127180,@AmazonHelp Definitely it is...early waiting for invitation...Thank you,Sat Oct 07 18:25:53 +0000 2017,325872,@127180 Me too. Hopefully we'll get it soon. ^HA,Sat Oct 07 18:55:00 +0000 2017,General Inquiry & Feedback,False
123361,143561,"@AmazonHelp Subí el edo de cuenta completo en Pdf, necesito soporte porque me parece terrible que teniendo el saldo suficiente en la tarjeta para hacer el pago del pedido no se pueda hacer nada y la promoción que en tiempo y forma se atendió se pierda. Algún teléfono o algo más personalizado https://t.co/P8EyRSsk6c",Fri Nov 24 01:07:57 +0000 2017,123359,"@143561 Hola, Mirelle. Lamentamos mucho este inconveniente, si ya enviaste los datos solicitados te recomendamos que por favor esperes unas 24 a 48 horas, los compañeros especialistas de cuenta con mucho gusto te estarán dando una respuesta luego de ese plazo. ^CB",Fri Nov 24 01:12:53 +0000 2017,Non-English Support,True
348049,170298,@115850 I bought this one. Delivered 4 days ago. Waiting for installation. https://t.co/RXXSvbJu7L,Sun Oct 08 11:28:07 +0000 2017,352570,@170298 here:  https://t.co/2t6DQoUmNZ. We'll fix this for you. (2/2)^AP,Sun Oct 08 13:10:00 +0000 2017,Order Status & Logistics,False
134819,146393,@AmazonHelp https://t.co/alp4iMsJvX,Fri Nov 24 09:03:09 +0000 2017,134817,"@146393 Hi, has the order already been completed? If not have you tried to reorder to see if the same thing happens? ^BZ",Fri Nov 24 09:12:28 +0000 2017,General Inquiry & Feedback,False
365198,202513,@AmazonHelp my package has been out for delivery since 8am but have a delayed delivery definitely need it for tomorrow smh,Sun Oct 08 19:33:02 +0000 2017,365196,@202513 I'm sorry for the wait! We deliver as late as 8PM. Please keep us updated! ^WT,Sun Oct 08 19:51:00 +0000 2017,Order Status & Logistics,False
388508,207926,@AmazonHelp @115851 almost 20 days gone. I think u will provide my solution after 10 months when warranty expired.shameonyou waste services i hv seen,Thu Oct 26 03:32:36 +0000 2017,388509,"@207926 Sorry for the stretch. As mentioned earlier, we're working on it. Request you to kindly allow us some more time. ^KA",Thu Oct 26 03:56:09 +0000 2017,General Inquiry & Feedback,False
437880,219015,@AmazonHelp I needed the order for Tuesday afternoon so have had to pay for delivery before 1pm instead of getting it free on Prime. Have emailed.,Sat Nov 25 07:16:18 +0000 2017,437881,@219015 We'll look into that for you and get in touch via e-mail soon! ^KI,Sat Nov 25 07:23:27 +0000 2017,"Account, Billing & Prime",True
427040,216572,@115821 @AmazonHelp I’ve just had an alleged failed delivery attempt even though I’ve been at home all day. How can I complain please?,Tue Oct 10 12:42:48 +0000 2017,427038,@216572 I'm sorry for the delayed delivery Mark. You can provide feedback by contacting us here:  https://t.co/JzP7hlA23B ^EM,Tue Oct 10 12:47:28 +0000 2017,General Inquiry & Feedback,False
546386,247051,£7.99 to watch a video on @129773 and the quality may as well be a camera copy 😐 not impressed at all.,Sat Dec 02 17:35:29 +0000 2017,546384,"@247051 Sorry to hear that, Sam. Can I ask if this relates to a particular movie or TV show?^TI",Sat Dec 02 17:37:26 +0000 2017,Product Quality & Hardware,True
